home_team,away_team,home_indicator,diff_OPS,diff_AVG,diff_OBP,diff_SLG,diff_R,diff_HR,diff_ERA,diff_WHIP,diff_SO,diff_OBA,diff_HR_allowed,Winner
Detroit Tigers,Boston Red Sox,1,0.009000000000000008,-0.009000000000000008,-0.0030000000000000027,0.01200000000000001,-5,3,0.1299999999999999,0.16000000000000014,11,0.015000000000000013,2,1
Detroit Tigers,Philadelphia Phillies,1,-0.0010000000000000009,-0.0010000000000000009,-0.01200000000000001,0.01200000000000001,7,2,0.11999999999999966,0.09000000000000008,30,-0.014999999999999986,-1,1
Detroit Tigers,Los Angeles Dodgers,1,-0.052000000000000046,0.0,-0.007000000000000006,-0.043999999999999984,-12,-14,0.040000000000000036,0.09000000000000008,36,-0.0040000000000000036,8,1
Detroit Tigers,Milwaukee Brewers,1,0.020000000000000018,0.0030000000000000027,0.010000000000000009,0.01100000000000001,-11,-1,-0.06000000000000005,-0.06000000000000005,51,-0.024999999999999994,-1,1
Detroit Tigers,Los Angeles Angels,1,-0.02200000000000002,0.003999999999999976,0.018000000000000016,-0.03799999999999998,5,-10,-0.06000000000000005,-0.050000000000000044,32,-0.024999999999999994,1,1
Detroit Tigers,San Francisco Giants,1,-0.020000000000000018,0.003999999999999976,0.0040000000000000036,-0.022999999999999965,-19,-1,-0.2100000000000004,0.09000000000000008,19,-0.0050000000000000044,-1,0
Detroit Tigers,Baltimore Orioles,1,0.017000000000000015,0.004999999999999977,0.017000000000000015,0.0020000000000000018,3,0,-0.2100000000000004,0.14000000000000012,55,0.0020000000000000018,7,1
Detroit Tigers,Cleveland Guardians,1,0.02299999999999991,0.00899999999999998,0.009000000000000008,0.015000000000000013,15,0,-0.2799999999999998,-0.08999999999999986,34,-0.028999999999999998,-4,1
Detroit Tigers,Washington Nationals,1,0.040999999999999925,0.011999999999999983,0.015000000000000013,0.027000000000000024,4,1,-0.30000000000000027,-0.040000000000000036,26,-0.03900000000000001,3,1
Detroit Tigers,Atlanta Braves,1,0.03599999999999992,0.015999999999999986,0.016000000000000014,0.02100000000000002,20,-2,-0.30000000000000027,-0.040000000000000036,17,-0.034,-2,1
Detroit Tigers,Colorado Rockies,1,0.08099999999999996,0.017999999999999988,0.03200000000000003,0.050000000000000044,29,8,-0.3599999999999999,0.08000000000000007,12,0.027999999999999997,-1,1
Detroit Tigers,New York Mets,1,0.03699999999999992,0.01899999999999999,0.016000000000000014,0.02200000000000002,9,5,-0.3999999999999999,-0.030000000000000027,56,-0.013999999999999985,-2,1
Detroit Tigers,Seattle Mariners,1,0.009000000000000008,0.01899999999999999,0.0,0.010000000000000009,0,-6,-0.48,-0.16999999999999993,26,-0.034,-3,1
